id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,experience,employment,adv_response_url,is_adv_vacancy
82132797,False,QA Engineer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Остаповский проезд', 'building': '3', 'lat': 55.722152, 'lng': 37.701439, 'description': None, 'raw': 'Москва, Остаповский проезд, 3', 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}], 'id': '17424'}",,,2023-06-19T15:50:25+0300,2023-06-19T15:50:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=82132797,,https://api.hh.ru/vacancies/82132797?host=hh.ru,https://hh.ru/vacancy/82132797,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы тестировщиком от 1 года. - Знание и понимание методологий и видов тестирования ПО. - Опыт работы с системами баг-трекинга...', 'responsibility': 'Проведение функционального, интеграционного, системного, нагрузочного тестирования ПО. - Документирование найденных ошибок в системе баг-трекинга, контроль их исправления. - Анализ требований и...'}",,,[],[],[],False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
77565143,False,Ведущий технический писатель,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 200000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Остаповский проезд', 'building': '3', 'lat': 55.722152, 'lng': 37.701439, 'description': None, 'raw': 'Москва, Остаповский проезд, 3', 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}], 'id': '17424'}",,,2023-07-07T14:27:46+0300,2023-07-07T14:27:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77565143,,https://api.hh.ru/vacancies/77565143?host=hh.ru,https://hh.ru/vacancy/77565143,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт разработки документации при выполнении опытно-конструкторских работ (ОКР), научно-исследовательских работ (НИР). Хорошие знания стандартов ГОСТ 2,19 и...', 'responsibility': 'Информационная безопасность (аудит и аутсорсинг информационной безопасности). Разработка программного обеспечения (Big Data; высоконагруженные системы с разнообразным стеком технологии). '}",,,[],[],[],False,"[{'id': '126', 'name': 'Технический писатель'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
81608413,False,"Рекрутер IT подбор (удаленно, гибрид)",,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 200000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}], 'id': '17424'}",,,2023-06-27T15:21:00+0300,2023-06-27T15:21:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=81608413,,https://api.hh.ru/vacancies/81608413?host=hh.ru,https://hh.ru/vacancy/81608413,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование (желательно: управление персоналом, психология). Опыт работы в подборе персонала от 2-х лет в IT компании. ', 'responsibility': 'Информационная безопасность (аудит и аутсорсинг информационной безопасности). Разработка программного обеспечения (Big Data; высоконагруженные системы с разнообразным стеком технологии). '}",,,[],[],[],False,"[{'id': '118', 'name': 'Специалист по подбору персонала'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
75697160,False,Ведущий разработчик С++,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Остаповский проезд', 'building': '3', 'lat': 55.722152, 'lng': 37.701439, 'description': None, 'raw': 'Москва, Остаповский проезд, 3', 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}], 'id': '17424'}",,,2023-06-30T14:41:44+0300,2023-06-30T14:41:44+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=75697160,,https://api.hh.ru/vacancies/75697160?host=hh.ru,https://hh.ru/vacancy/75697160,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее техническое образование. Опыт работы в роли системного архитектора или ведущего разработчика не менее 2 лет. Опыт в разработке ПО...', 'responsibility': 'Участие в проектах в качестве архитектора и ведущего разработчика. Проектирование архитектурных решений и их документирование. Выбор используемых технологий. '}",,,[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
75692586,False,Reverse Engineer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 400000, 'to': 500000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Остаповский проезд', 'building': '3', 'lat': 55.722152, 'lng': 37.701439, 'description': None, 'raw': 'Москва, Остаповский проезд, 3', 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}], 'id': '17424'}",,,2023-06-27T15:21:42+0300,2023-06-27T15:21:42+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=75692586,,https://api.hh.ru/vacancies/75692586?host=hh.ru,https://hh.ru/vacancy/75692586,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы реверс-инжиниринга программного обеспечения с использованием WinDbg, OllyDbg/ X64Dbg и IDA Pro от 3х лет. ', 'responsibility': 'Анализировать безопасность протоколов и программного обеспечения. Разрабатывать средства проверки защищенности и концептов имитации атак (C/C++/Python). Разрабатывать прикладное и...'}",,,[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
83578609,False,Офис-менеджер/помощник руководителя,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 80000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Саввинская набережная', 'building': '15', 'lat': 55.734866, 'lng': 37.566189, 'description': None, 'raw': 'Москва, Саввинская набережная, 15', 'metro': {'station_name': 'Киевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.47', 'line_id': '3', 'lat': 55.743117, 'lng': 37.564132}, 'metro_stations': [{'station_name': 'Киевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.47', 'line_id': '3', 'lat': 55.743117, 'lng': 37.564132}, {'station_name': 'Киевская', 'line_name': 'Кольцевая', 'station_id': '5.49', 'line_id': '5', 'lat': 55.74361, 'lng': 37.56735}], 'id': '13681617'}",,,2023-07-17T18:38:19+0300,2023-07-17T18:38:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=83578609,,https://api.hh.ru/vacancies/83578609?host=hh.ru,https://hh.ru/vacancy/83578609,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы от 3х лет на аналогичной должности. Свободное владение ПК и офисной техникой. Знание делопроизводства. Грамотная устная и...', 'responsibility': 'Прием и распределение входящих звонков. Работа с корреспонденцией (входящая/исходящая), контроль и обеспечение документооборота Компании. Организация отправки исходящей корреспонденции через...'}",,,[],[],[],False,"[{'id': '88', 'name': 'Офис-менеджер'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
81056678,False,Системный аналитик,,False,True,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 300000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, {'station_name': 'Угрешская', 'line_name': 'МЦК', 'station_id': '95.528', 'line_id': '95', 'lat': 55.718333, 'lng': 37.697778}], 'id': '2990430'}",,,2023-07-07T14:27:42+0300,2023-07-07T14:27:42+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=81056678,,https://api.hh.ru/vacancies/81056678?host=hh.ru,https://hh.ru/vacancy/81056678,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование в сфере информационных технологий. Опыт работы с различными СУБД. Уверенные знания SQL. Умение проектировать модели данных. ', 'responsibility': 'Информационная безопасность (аудит и аутсорсинг информационной безопасности). Разработка программного обеспечения (Big Data; высоконагруженные системы с разнообразным стеком технологии). '}",,,[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
82138937,False,Разработчик Python (Flask/PostgreSQL/Redis),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, {'station_name': 'Угрешская', 'line_name': 'МЦК', 'station_id': '95.528', 'line_id': '95', 'lat': 55.718333, 'lng': 37.697778}], 'id': '2990430'}",,,2023-07-03T10:48:31+0300,2023-07-03T10:48:31+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=82138937,,https://api.hh.ru/vacancies/82138937?host=hh.ru,https://hh.ru/vacancy/82138937,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт разработки на Python (3.8 и выше). Уверенное знание принципов ООП и основных шаблонов проектирования. Опыт разработки многопоточных приложений. ', 'responsibility': 'Разработка веб интерфейса и экранных форм (Flask/PostgreSQL/Redis).'}",,,[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
82466989,False,Технический писатель,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 150000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Остаповский проезд', 'building': '3с26', 'lat': 55.724789, 'lng': 37.699346, 'description': None, 'raw': 'Москва, Остаповский проезд, 3с26', 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, {'station_name': 'Угрешская', 'line_name': 'МЦК', 'station_id': '95.528', 'line_id': '95', 'lat': 55.718333, 'lng': 37.697778}], 'id': '2990430'}",,,2023-07-07T14:27:29+0300,2023-07-07T14:27:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=82466989,,https://api.hh.ru/vacancies/82466989?host=hh.ru,https://hh.ru/vacancy/82466989,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее техническое образование. Опыт работы в роли аналитика или технического писателя от 1 года. Аналитический склад ума, умение структурировать информацию...', 'responsibility': 'Информационная безопасность (аудит и аутсорсинг информационной безопасности). Разработка программного обеспечения (Big Data; высоконагруженные системы с разнообразным стеком технологии). '}",,,[],[],[],False,"[{'id': '126', 'name': 'Технический писатель'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
76711872,False,DevOps инженер,,False,True,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Остаповский проезд', 'building': '3с26', 'lat': 55.724789, 'lng': 37.699346, 'description': None, 'raw': 'Москва, Остаповский проезд, 3с26', 'metro': {'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, 'metro_stations': [{'station_name': 'Волгоградский проспект', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.31', 'line_id': '7', 'lat': 55.725546, 'lng': 37.685197}, {'station_name': 'Угрешская', 'line_name': 'МЦК', 'station_id': '95.528', 'line_id': '95', 'lat': 55.718333, 'lng': 37.697778}], 'id': '2990430'}",,,2023-07-17T09:58:21+0300,2023-07-17T09:58:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=76711872,,https://api.hh.ru/vacancies/76711872?host=hh.ru,https://hh.ru/vacancy/76711872,[],"{'id': '24947', 'name': 'АСТ', 'url': 'https://api.hh.ru/employers/24947', 'alternate_url': 'https://hh.ru/employer/24947', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/226858.png', '240': 'https://hhcdn.ru/employer-logo/945198.png', '90': 'https://hhcdn.ru/employer-logo/945197.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24947', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Знание серверных ОС Windows, Linux. Знание сетевых протоколов и умение настраивать различное сетевое оборудование (Firewall, маршрутизаторы, коммутаторы, WiFi роутеры). ', 'responsibility': 'Информационная безопасность (аудит и аутсорсинг информационной безопасности). Разработка программного обеспечения (Big Data; высоконагруженные системы с разнообразным стеком технологии). '}",,,[],[],[],False,"[{'id': '160', 'name': 'DevOps-инженер'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False
